category,question,option1,option2,option3,option4,correct_answer
Science,ما هي وحدة قياس التيار الكهربائي؟,فولت,أوم,واط,أمبير,أمبير
Science,ما هو أعمق بحيرة في العالم؟,بحيرة بايكال,بحيرة تنجانيقا,بحيرة سوبيريور,بحيرة فيكتوريا,بحيرة بايكال
Science,كم عدد العضلات في جسم الإنسان؟,600,650,700,639,639
Science,ما هو أسرع حيوان بحري؟,الدلفين,سمك التونة,سمك السيف,سمك المارلين,سمك المارلين
Science,ما هو أقدم حيوان على وجه الأرض؟,التمساح,السلحفاة,القرش,قنديل البحر,قنديل البحر
Science,ما هو أعمق نقطة في المحيط الهادئ؟,خندق ماريانا,خندق تونغا,خندق الفلبين,خندق ماريانا
Science,كم عدد الكروموسومات في جسم الإنسان؟,46,48,50,46
Science,ما هو أسرع حيوان في العالم؟,الفهد,الصقر,السمكة الشراعية,الصقر
Science,ما هو أعمق حيوان بحري؟,سمك أبو سيف,سمك الأنقليس,سمك الحوت,سمك الأنقليس
History,ما هو أقدم نظام كتابة في العالم؟,الهيروغليفية,المسمارية,الصينية,المسمارية
History,كم عدد اللغات الرسمية في الأمم المتحدة؟,4,5,6,6
History,من هو مؤسس علم الجبر؟,الخوارزمي,ابن سينا,الفارابي,الخوارزمي
History,ما هي أقدم مكتبة في العالم؟,مكتبة الإسكندرية,مكتبة آشوربانيبال,مكتبة بيت الحكمة,مكتبة آشوربانيبال
History,من هو مؤسس الدولة الأموية؟,معاوية بن أبي سفيان,عبد الملك بن مروان,هشام بن عبد الملك,معاوية بن أبي سفيان
History,من هو مؤلف كتاب صحيح البخاري؟,البخاري,مسلم,الترمذي,النسائي,البخاري
Geography,ما هو أعمق خندق في المحيط؟,خندق ماريانا,خندق تونغا,خندق الفلبين,خندق ماريانا
Geography,ما هي أكبر شبه جزيرة في العالم؟,شبه الجزيرة العربية,شبه جزيرة الهند,شبه جزيرة إيبيريا,شبه الجزيرة العربية
Geography,ما هو أطول نفق في العالم؟,نفق غوتهارد,نفق سيكان,نفق المانش,نفق غوتهارد
Geography,ما هي أكبر صحراء في آسيا؟,صحراء غوبي,صحراء الربع الخالي,صحراء ثار,صحراء غوبي
Geography,ما هو أطول جسر في العالم؟,جسر دانيانغ-كونشان,جسر هونغ كونغ,جسر أكاشي كايكيو,جسر دانيانغ-كونشان
Literature,من هو مؤلف كتاب الأغاني؟,الأصفهاني,الجاحظ,ابن المقفع,الأصفهاني
Literature,ما هي أشهر رواية للكاتب باولو كويلو؟,الخيميائي,11 دقيقة,الجبل الخامس,الخيميائي
Literature,من هو مؤلف كتاب العقد الفريد؟,ابن عبد ربه,الجاحظ,ابن المقفع,ابن عبد ربه
Literature,ما هي أشهر رواية للكاتب غابرييل غارسيا ماركيز؟,مائة عام من العزلة,الحب في زمن الكوليرا,خريف البطريرك,مائة عام من العزلة
Literature,من هو مؤلف كتاب الحيوان؟,الجاحظ,ابن المقفع,ابن خلدون,الجاحظ
Sports,ما هي رياضة كرة القدم؟,كرة السلة,كرة القدم,كرة الطائرة,كرة القدم
Sports,كم عدد اللاعبين في فريق كرة القدم؟,10,11,12,11
Sports,ما هي رياضة التنس؟,كرة الطائرة,التنس,الريشة,التنس
Sports,كم عدد اللاعبين في فريق كرة السلة؟,4,5,6,5
