category,question,option1,option2,option3,correct_answer
Islamic,من هو أول خليفة للمسلمين؟,أبو بكر الصديق,عمر بن الخطاب,عثمان بن عفان,أبو بكر الصديق
Islamic,ما هي سورة قلب القرآن؟,البقرة,آل عمران,يس,يس
Islamic,كم عدد الأنبياء المذكورين في القرآن؟,24,25,26,25
Islamic,ما هي أول معركة في الإسلام؟,بدر,أحد,الخندق,بدر
Islamic,من هو مؤلف كتاب صحيح البخاري؟,البخاري,مسلم,الترمذي,البخاري
Islamic,من هو الصحابي الملقب بذي النورين؟,عثمان بن عفان,علي بن أبي طالب,عمر بن الخطاب,عثمان بن عفان
Islamic,ما هي أول آية نزلت من القرآن؟,اقرأ باسم ربك,بسم الله الرحمن الرحيم,الحمد لله رب العالمين,اقرأ باسم ربك
Islamic,من هو مؤلف كتاب فتح الباري؟,ابن حجر العسقلاني,النووي,الذهبي,ابن حجر العسقلاني
Islamic,ما هي أطول سورة في القرآن؟,البقرة,آل عمران,البقرة
Islamic,من هو أول من أسلم من الصبيان؟,علي بن أبي طالب,زيد بن حارثة,علي بن أبي طالب
Islamic,من هو أول من أسلم من الموالي؟,بلال بن رباح,زيد بن حارثة,بلال بن رباح
Islamic,من هو أول من أسلم من العبيد؟,بلال بن رباح,عمار بن ياسر,بلال بن رباح
Islamic,من هو أول من أسلم من النساء؟,خديجة بنت خويلد,فاطمة بنت محمد,خديجة بنت خويلد
Islamic,من هو أول من أسلم من الرجال؟,أبو بكر الصديق,عمر بن الخطاب,أبو بكر الصديق
Islamic,من هو أول من أسلم من الأنصار؟,أسعد بن زرارة,سعد بن معاذ,أسعد بن زرارة
Islamic,من هو أول من أسلم من المهاجرين؟,أبو بكر الصديق,عمر بن الخطاب,أبو بكر الصديق
Islamic,من هو أول من أسلم من الأشراف؟,حمزة بن عبد المطلب,أبو طالب,حمزة بن عبد المطلب
Islamic,من هو أول من أسلم من الأنصار؟,أسعد بن زرارة,سعد بن معاذ,أسعد بن زرارة
Islamic,من هو أول من أسلم من المهاجرين؟,أبو بكر الصديق,عمر بن الخطاب,أبو بكر الصديق
Islamic,من هو أول من أسلم من الأشراف؟,حمزة بن عبد المطلب,أبو طالب,حمزة بن عبد المطلب
